word,article_length,syllable_count
ball,0.211,1
ball2,0.228,1
cat,0.208,1
cat2,0.195,1
cow,0.18,1
cow2,0.204,1
crane,0.202,1
crane2,0.234,1
dog,0.234,1
dog2,0.23,1
frog,0.202,1
frog2,0.147,1
goat,0.203,1
goat2,0.187,1
horse,0.169,1
horse2,0.195,1
key,0.295,1
key2,0.301,1
mud,0.155,1
mud2,0.145,1
pot,0.328,1
pot2,0.258,1
skirt,0.104,1
skirt2,0.125,1
snail,0.156,1
snail2,0.128,1
swan,0.165,1
swan2,0.13,1
worm,0.139,1
worm2,0.202,1
acorn,0.176,2
acorn2,0.236,2
bottle,0.276,2
bottle2,0.249,2
broccoli,0.184,2
broccoli2,0.189,2
butter,0.28,2
butter2,0.254,2
cheese,0.166,2
cheese2,0.168,2
eagle,0.323,2
eagle2,0.303,2
garlic,0.203,2
garlic2,0.167,2
glasses,0.14,2
glasses2,0.18,2
hamster,0.143,2
hamster2,0.192,2
handle,0.24,2
handle2,0.236,2
monkey,0.134,2
monkey2,0.189,2
orange,0.195,2
orange2,0.216,2
rabbit,0.226,2
rabbit2,0.122,2
rooster,0.21,2
rooster2,0.161,2
saddle,0.141,2
saddle2,0.15,2
snowball,0.118,2
snowball2,0.134,2
squirrel,0.11,2
squirrel2,0.147,2
tractor,0.192,2
tractor2,0.184,2
trophy,0.181,2
trophy2,0.176,2
turkey,0.244,2
turkey2,0.245,2
turtle,0.251,2
turtle2,0.269,2
bulldozer,0.23,3
bulldozer2,0.183,3
coconut,0.291,3
coconut2,0.278,3
marshmallow,0.12,3
marshmallow2,0.124,3
potato,0.23,3
potato2,0.242,3
silverware,0.088,3
silverware2,0.126,3
strawberry,0.12,3
strawberry2,0.119,3
watermelon,0.141,3
watermelon2,0.161,3