SubjectInfo.subjID,SubjectInfo.testAge,Trials.trialID,Trials.ordinal,Trials.trialType,Trials.targetImage,Trials.distractorImage,Trials.imagePair,length_critical_window,usable_frames_critical_window,percent_usable_critical_window,usable_critical_window,mean_target_looking_critical_window,length_critical_window_short,usable_frames_critical_window_short,percent_usable_critical_window_short,usable_critical_window_short,mean_target_looking_critical_window_short,length_baseline_window,usable_frames_baseline_window,percent_usable_baseline_window,usable_baseline_window,mean_target_looking_baseline_window,percent_right_looking_baseline_window,percent_left_looking_baseline_window,side_bias_right,side_bias_left,usable_window,usable_window_short,corrected_target_looking,corrected_target_looking_short,age_exclusion,technical_issue_exclusion_reason,exclude_technical_issue,video_capture_time,framerate,trial_exclusion,trial_exclusion_reason,exclude_participant,preterm_infant_exclusion,non_english_exposure_exclusion,side_bias_exclusion,exclude_participant_insufficient_data
ZPX2dD,600,hard-potato-pot-distractor,21,hard-distractor,pot,potato,potato-pot,48,48,1,1,0.08333333333333331,23,23,1,1,0.13043478260869565,30,23,0.7666666666666667,1,0.3043478260869565,0.23333333333333334,0.5333333333333333,0,0,1,1,-0.22101449275362317,-0.17391304347826084,0,NA,FALSE,7.223,15.07496897546934,0,NA,0,0,0,0,0
CS7F6L,540,hard-potato-pot-distractor,21,hard-distractor,pot,potato,potato-pot,75,70,0.9333333333333333,1,0.5142857142857145,45,45,1,1,0.8000000000000002,60,60,1,1,0.2166666666666666,0.7833333333333333,0.21666666666666667,0,0,1,1,0.2976190476190479,0.5833333333333336,0,NA,FALSE,6.272,29.98065764023211,0,NA,0,0,0,0,1
CS7F6L,540,hard-squirrel-monkey-distractor,22,hard-distractor,monkey,squirrel,squirrel-monkey,75,39,0.52,1,0.3589743589743589,45,30,0.6666666666666666,1,0.4,60,31,0.5166666666666667,1,0,0.5166666666666667,0,0,0,1,1,0.3589743589743589,0.4,0,NA,FALSE,6.339,29.97936016511868,0,NA,0,0,0,0,1
QcRBVD,510,hard-bulldozer-tractor-distractor,22,hard-distractor,tractor,bulldozer,bulldozer-tractor,95,75,0.7894736842105263,1,0.7333333333333333,45,38,0.8444444444444444,1,0.9210526315789473,61,54,0.8852459016393442,1,0.6296296296296295,0.32786885245901637,0.5573770491803278,0,0,1,1,0.10370370370370374,0.2914230019493178,0,NA,FALSE,7.238,30.64518956685346,0,NA,0,0,0,0,0
ZPX2dD,600,easy-turtle-horse-distractor,22,easy-distractor,horse,turtle,turtle-horse,48,48,1,1,0.47916666666666674,22,22,1,1,0,30,30,1,1,0.36666666666666664,0.36666666666666664,0.6333333333333333,0,0,1,1,0.1125000000000001,-0.36666666666666664,0,NA,FALSE,7.229,15.044918124883896,0,NA,0,0,0,0,0
M7RZU2,510,hard-acorn-coconut,22,hard,acorn,coconut,acorn-coconut,96,58,0.6041666666666666,1,0.051724137931034427,45,45,1,1,0,60,3,0.05,0,1,0.05,0,0,0,0,0,-0.9482758620689655,-1,0,NA,FALSE,7.233,30.007310842225454,1,insufficient looking,0,0,0,0,0
AWMRW7,720,easy-cheese-mud,22,easy,cheese,mud,cheese-mud,55,23,0.41818181818181815,0,1,27,17,0.6296296296296297,1,1,36,13,0.3611111111111111,0,0.07692307692307696,0.027777777777777776,0.3333333333333333,0,0,0,0,0.923076923076923,0.923076923076923,0,NA,FALSE,6.751,22.71466891594816,1,insufficient looking,0,0,0,0,0
ZPX2dD,600,hard-turkey-goat-distractor,23,hard-distractor,goat,turkey,turkey-goat,48,48,1,1,0.5625,23,23,1,1,1,29,29,1,1,0.7586206896551723,0.7586206896551724,0.2413793103448276,0,0,1,1,-0.19612068965517226,0.24137931034482774,0,NA,FALSE,7.159,15.164717406267613,0,NA,0,0,0,0,0
QcRBVD,510,easy-turtle-horse-distractor,23,easy-distractor,horse,turtle,turtle-horse,96,68,0.7083333333333334,1,0.8676470588235297,45,43,0.9555555555555556,1,0.7906976744186047,60,57,0.95,1,0.4736842105263157,0.45,0.5,0,0,1,1,0.39396284829721395,0.317013463892289,0,NA,FALSE,7.169,30.443409777827803,0,NA,0,0,0,0,0
CS7F6L,540,hard-turtle-frog,23,hard,turtle,frog,turtle-frog,85,0,0,0,NA,45,0,0,0,NA,60,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,FALSE,6.94,29.97737556561086,1,insufficient looking,0,0,0,0,1
M7RZU2,510,hard-snail-worm,23,hard,snail,worm,snail-worm,96,73,0.7604166666666666,1,0.5479452054794517,45,44,0.9777777777777777,1,0.7954545454545456,60,5,0.08333333333333333,0,0,0,0.08333333333333333,0,0,0,0,0.5479452054794517,0.7954545454545456,0,NA,FALSE,7.233,30.007310842225454,1,insufficient looking,0,0,0,0,0
AWMRW7,720,hard-bulldozer-tractor,23,hard,bulldozer,tractor,bulldozer-tractor,57,50,0.8771929824561403,1,0.86,28,25,0.8928571428571429,1,0.72,36,29,0.8055555555555556,1,0.44827586206896564,0.3611111111111111,0.4444444444444444,0,0,1,1,0.41172413793103435,0.27172413793103434,0,NA,FALSE,6.704,22.797819793306896,0,NA,0,0,0,0,0
QcRBVD,510,easy-acorn-key-distractor,24,easy-distractor,key,acorn,acorn-key,96,96,1,1,0.5625,45,45,1,1,0.37777777777777766,60,60,1,1,0.3166666666666667,0.31666666666666665,0.6833333333333333,0,0,1,1,0.2458333333333333,0.06111111111111095,0,NA,FALSE,7.209,30.377986160438823,0,NA,0,0,0,0,0
CS7F6L,540,easy-turkey-swan-distractor,24,easy-distractor,swan,turkey,turkey-swan,85,0,0,0,NA,45,0,0,0,NA,60,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,FALSE,6.706,29.979336827449206,1,insufficient looking,0,0,0,0,1
AWMRW7,720,easy-squirrel-eagle-distractor,24,easy-distractor,eagle,squirrel,squirrel-eagle,56,52,0.9285714285714286,1,0.038461538461538436,28,28,1,1,0,36,36,1,1,0.5,0.5,0.5,0,0,1,1,-0.46153846153846156,-0.5,0,NA,FALSE,6.72,21.92324369030939,0,NA,0,0,0,0,0
M7RZU2,510,hard-turkey-goat-distractor,24,hard-distractor,goat,turkey,turkey-goat,96,0,0,0,NA,45,0,0,0,NA,60,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,FALSE,7.233,30.007310842225454,1,insufficient looking,0,0,0,0,0
ZPX2dD,600,easy-snail-cow,24,easy,snail,cow,snail-cow,48,48,1,1,0.625,23,23,1,1,0.5652173913043479,30,30,1,1,0.4666666666666666,0.4666666666666667,0.5333333333333333,0,0,1,1,0.15833333333333338,0.09855072463768128,0,NA,FALSE,7.132,15.113051400479431,0,NA,0,0,0,0,0
M7RZU2,510,easy-cheese-mud,25,easy,cheese,mud,cheese-mud,96,77,0.8020833333333334,1,0.3896103896103897,45,45,1,1,0.26666666666666666,60,60,1,1,0.6,0.6,0.4,0,0,1,1,-0.2103896103896103,-0.3333333333333333,0,NA,FALSE,7.266,30.008667353513548,0,NA,0,0,0,0,0
ZPX2dD,600,hard-cheese-butter,25,hard,cheese,butter,cheese-butter,48,46,0.9583333333333334,1,0.6304347826086958,23,21,0.9130434782608695,1,1,30,22,0.7333333333333333,1,0.9090909090909091,0.06666666666666667,0.6666666666666666,0,0,1,1,-0.2786561264822133,0.09090909090909094,0,NA,FALSE,7.195,15.11846579577318,0,NA,0,0,0,0,0
CS7F6L,540,hard-bulldozer-tractor,25,hard,bulldozer,tractor,bulldozer-tractor,82,78,0.9512195121951219,1,0.5897435897435898,45,45,1,1,1,60,50,0.8333333333333334,1,0.9,0.75,0.08333333333333333,0,0,1,1,-0.31025641025641026,0.09999999999999998,0,NA,FALSE,6.406,29.97808972073678,0,NA,0,0,0,0,1
QcRBVD,510,hard-cheese-butter-distractor,25,hard-distractor,butter,cheese,cheese-butter,95,94,0.9894736842105263,1,0.6808510638297873,44,43,0.9772727272727273,1,1,60,60,1,1,0.5,0.5,0.5,0,0,1,1,0.18085106382978733,0.5,0,NA,FALSE,7.176,31.24372244730594,0,NA,0,0,0,0,0
AWMRW7,720,easy-acorn-key-distractor,25,easy-distractor,key,acorn,acorn-key,56,52,0.9285714285714286,1,1,27,27,1,1,1,37,34,0.918918918918919,1,0.5294117647058824,0.43243243243243246,0.4864864864864865,0,0,1,1,0.47058823529411764,0.47058823529411764,0,NA,FALSE,6.673,22.501343537571582,0,NA,0,0,0,0,0
ZPX2dD,600,hard-squirrel-monkey,26,hard,squirrel,monkey,squirrel-monkey,48,17,0.3541666666666667,0,0,22,11,0.5,1,0,29,28,0.9655172413793104,1,0,0.9655172413793104,0,1,0,0,1,0,0,0,NA,FALSE,7.223,15.239656524801552,1,insufficient looking,0,0,0,0,0
M7RZU2,510,hard-squirrel-monkey,26,hard,squirrel,monkey,squirrel-monkey,96,74,0.7708333333333334,1,0.25675675675675663,45,30,0.6666666666666666,1,0.03333333333333334,60,55,0.9166666666666666,1,0.45454545454545453,0.5,0.4166666666666667,0,0,1,1,-0.1977886977886979,-0.4212121212121212,0,NA,FALSE,7.266,30.008667353513548,0,NA,0,0,0,0,0
CS7F6L,540,hard-cheese-butter-distractor,26,hard-distractor,butter,cheese,cheese-butter,84,0,0,0,NA,45,0,0,0,NA,60,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,FALSE,6.673,29.9777183600713,1,insufficient looking,0,0,0,0,1
AWMRW7,720,hard-potato-pot,26,hard,potato,pot,potato-pot,56,52,0.9285714285714286,1,0.7307692307692308,27,27,1,1,0.4814814814814815,34,34,1,1,0.41176470588235287,0.5882352941176471,0.4117647058823529,0,0,1,1,0.31900452488687797,0.06971677559912864,0,NA,FALSE,6.591,22.320951721542134,0,NA,0,0,0,0,0
QcRBVD,510,easy-squirrel-eagle-distractor,26,easy-distractor,eagle,squirrel,squirrel-eagle,79,69,0.8734177215189873,1,0.6956521739130437,39,31,0.7948717948717948,1,0.7741935483870966,45,45,1,1,0.1777777777777778,0.8222222222222222,0.17777777777777778,1,0,1,1,0.5178743961352659,0.5964157706093188,0,NA,FALSE,6.767,27.213876702189854,0,NA,0,0,0,0,0
CS7F6L,540,easy-acorn-key,27,easy,acorn,key,acorn-key,82,0,0,0,NA,45,0,0,0,NA,60,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,FALSE,7.073,29.97931591161336,1,insufficient looking,0,0,0,0,1
ZPX2dD,600,easy-potato-glasses,27,easy,potato,glasses,potato-glasses,48,24,0.5,1,0.08333333333333336,22,22,1,1,0.09090909090909093,29,29,1,1,0.7586206896551723,0.7586206896551724,0.2413793103448276,0,0,1,1,-0.6752873563218389,-0.6677115987460813,0,NA,FALSE,7.226,15.063314303351923,0,NA,0,0,0,0,0
QcRBVD,510,hard-turtle-frog,27,hard,turtle,frog,turtle-frog,96,96,1,1,0.5104166666666665,45,45,1,1,1,60,17,0.2833333333333333,0,0.8823529411764706,0.03333333333333333,0.25,0,0,0,0,-0.37193627450980404,0.11764705882352944,0,NA,FALSE,7.248,30.855531855945483,1,insufficient looking,0,0,0,0,0
M7RZU2,510,easy-turkey-swan-distractor,27,easy-distractor,swan,turkey,turkey-swan,96,80,0.8333333333333334,1,0.85,45,31,0.6888888888888889,1,0.6774193548387097,60,43,0.7166666666666667,1,0.5581395348837208,0.31666666666666665,0.4,0,0,1,1,0.29186046511627917,0.11927981995498893,0,NA,FALSE,7.266,30.008667353513548,0,NA,0,0,0,0,0
AWMRW7,720,hard-cheese-butter,27,hard,cheese,butter,cheese-butter,198,194,0.9797979797979798,1,0.9175257731958761,93,93,1,1,0.8279569892473118,125,125,1,1,0.2960000000000004,0.704,0.296,0,0,1,1,0.6215257731958758,0.5319569892473114,0,NA,FALSE,6.784,62.5,0,NA,0,0,0,0,0
QcRBVD,510,easy-bulldozer-orange,28,easy,bulldozer,orange,bulldozer-orange,96,82,0.8541666666666666,1,0.75609756097561,45,45,1,1,0.5555555555555557,54,54,1,1,0.4629629629629628,0.46296296296296297,0.5370370370370371,0,0,1,1,0.2931345980126472,0.09259259259259289,0,NA,FALSE,6.941,35.356865467692316,0,NA,0,0,0,0,0
M7RZU2,510,hard-potato-pot,28,hard,potato,pot,potato-pot,96,90,0.9375,1,0.6222222222222226,45,45,1,1,0.4888888888888889,60,60,1,1,0.6,0.6,0.4,0,0,1,1,0.022222222222222587,-0.1111111111111111,0,NA,FALSE,7.233,30.007310842225454,0,NA,0,0,0,0,0
ZPX2dD,600,hard-turtle-frog,28,hard,turtle,frog,turtle-frog,48,48,1,1,1,23,23,1,1,1,30,17,0.5666666666666667,1,1,0.5666666666666667,0,0,0,1,1,0,0,0,NA,FALSE,7.098,15.055048678128788,0,NA,0,0,0,0,0
AWMRW7,720,easy-snail-cow-distractor,28,easy-distractor,cow,snail,snail-cow,58,53,0.9137931034482759,1,0.8301886792452832,28,28,1,1,0.7142857142857142,38,34,0.8947368421052632,1,0.4117647058823528,0.5263157894736842,0.3684210526315789,0,0,1,1,0.41842397336293036,0.3025210084033614,0,NA,FALSE,6.848,22.821161129298144,0,NA,0,0,0,0,0
CS7F6L,540,easy-squirrel-eagle-distractor,28,easy-distractor,eagle,squirrel,squirrel-eagle,87,0,0,0,NA,45,0,0,0,NA,59,27,0.4576271186440678,0,0,0.4576271186440678,0,0,0,0,0,NA,NA,0,NA,FALSE,6.706,29.979336827449206,1,insufficient looking,0,0,0,0,1
ZPX2dD,600,easy-turkey-swan-distractor,29,easy-distractor,swan,turkey,turkey-swan,48,28,0.5833333333333334,1,0.9642857142857143,22,14,0.6363636363636364,1,1,30,9,0.3,0,0.8888888888888888,0.03333333333333333,0.26666666666666666,0,0,0,0,0.07539682539682546,0.11111111111111116,0,NA,FALSE,7.232,15.064132311914662,1,insufficient looking,0,0,0,0,0
QcRBVD,510,hard-turkey-goat-distractor,29,hard-distractor,goat,turkey,turkey-goat,96,96,1,1,0.6458333333333333,45,45,1,1,0.7111111111111111,60,60,1,1,0.23333333333333342,0.23333333333333334,0.7666666666666667,0,0,1,1,0.41249999999999987,0.47777777777777775,0,NA,FALSE,7.24,29.978560339091647,0,NA,0,0,0,0,0
CS7F6L,540,easy-potato-glasses-distractor,29,easy-distractor,glasses,potato,potato-glasses,85,0,0,0,NA,45,0,0,0,NA,60,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,FALSE,6.606,29.97893372224923,1,insufficient looking,0,0,0,0,1
M7RZU2,510,easy-snail-cow,29,easy,snail,cow,snail-cow,96,82,0.8541666666666666,1,0.024390243902439008,45,42,0.9333333333333333,1,0,60,60,1,1,0.44999999999999996,0.55,0.45,0,0,1,1,-0.42560975609756097,-0.44999999999999996,0,NA,FALSE,7.233,30.007310842225454,0,NA,0,0,0,0,0
AWMRW7,720,hard-turtle-frog-distractor,29,hard-distractor,frog,turtle,turtle-frog,57,53,0.9298245614035088,1,0.6603773584905661,28,28,1,1,0.75,34,34,1,1,0.323529411764706,0.6764705882352942,0.3235294117647059,0,0,1,1,0.3368479467258601,0.426470588235294,0,NA,FALSE,6.783,22.25136029943541,0,NA,0,0,0,0,0
CS7F6L,540,easy-turtle-horse-distractor,30,easy-distractor,horse,turtle,turtle-horse,83,0,0,0,NA,45,0,0,0,NA,60,1,0.016666666666666666,0,0,0.016666666666666666,0,0,0,0,0,NA,NA,0,NA,FALSE,6.539,29.980173887736914,1,insufficient looking,0,0,0,0,1
AWMRW7,720,hard-squirrel-monkey-distractor,30,hard-distractor,monkey,squirrel,squirrel-monkey,197,178,0.9035532994923858,1,0.8764044943820225,93,93,1,1,0.7634408602150536,125,125,1,1,0.6480000000000002,0.352,0.648,0,0,1,1,0.22840449438202226,0.1154408602150534,0,NA,FALSE,6.848,62.5,0,NA,0,0,0,0,0
ZPX2dD,600,hard-bulldozer-tractor,30,hard,bulldozer,tractor,bulldozer-tractor,49,10,0.20408163265306123,0,0.5,23,10,0.43478260869565216,0,0.5,30,8,0.26666666666666666,0,0.375,0.16666666666666666,0.1,0,0,0,0,0.125,0.125,0,NA,FALSE,7.1,15.040681586614054,1,insufficient looking,0,0,0,0,0
M7RZU2,510,easy-bulldozer-orange,30,easy,bulldozer,orange,bulldozer-orange,96,96,1,1,0,45,45,1,1,0,60,60,1,1,0.5166666666666664,0.5166666666666667,0.48333333333333334,0,0,1,1,-0.5166666666666664,-0.5166666666666664,0,NA,FALSE,7.266,30.008667353513548,0,NA,0,0,0,0,0
QcRBVD,510,hard-snail-worm,30,hard,snail,worm,snail-worm,91,83,0.9120879120879121,1,0.6746987951807232,39,36,0.9230769230769231,1,0.38888888888888873,55,49,0.8909090909090909,1,0.40816326530612274,0.36363636363636365,0.5272727272727272,0,0,1,1,0.26653552987460044,-0.019274376417234007,0,NA,FALSE,7.063,30.116097614870785,0,NA,0,0,0,0,0
AWMRW7,720,hard-turkey-goat-distractor,31,hard-distractor,goat,turkey,turkey-goat,55,35,0.6363636363636364,1,1,27,27,1,1,1,34,34,1,1,0.7058823529411764,0.7058823529411765,0.29411764705882354,0,0,1,1,0.2941176470588236,0.2941176470588236,0,NA,FALSE,6.736,21.737893106905457,0,NA,0,0,0,0,0
M7RZU2,510,easy-acorn-key-distractor,31,easy-distractor,key,acorn,acorn-key,58,50,0.8620689655172413,1,0.35999999999999993,45,41,0.9111111111111111,1,0.2195121951219512,60,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,unusually short trial,TRUE,5.433,30.007764399680674,1,insufficient looking - unusually short trial,0,0,0,0,0
ZPX2dD,600,hard-snail-worm-distractor,31,hard-distractor,worm,snail,snail-worm,48,0,0,0,NA,22,0,0,0,NA,30,10,0.3333333333333333,0,0,0,0.3333333333333333,0,0,0,0,NA,NA,0,NA,FALSE,7.236,15.04708893728194,1,insufficient looking,0,0,0,0,0
QcRBVD,510,hard-acorn-coconut-distractor,31,hard-distractor,coconut,acorn,acorn-coconut,96,95,0.9895833333333334,1,0.5578947368421057,45,44,0.9777777777777777,1,0.13636363636363635,60,58,0.9666666666666667,1,0.5689655172413794,0.55,0.4166666666666667,0,0,1,1,-0.011070780399273783,-0.4326018808777431,0,NA,FALSE,6.914,31.995411970908002,0,NA,0,0,0,0,0
CS7F6L,540,easy-snail-cow-distractor,31,easy-distractor,cow,snail,snail-cow,85,0,0,0,NA,45,0,0,0,NA,60,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,FALSE,6.639,29.980562348283307,1,insufficient looking,0,0,0,0,1
M7RZU2,510,easy-turtle-horse,32,easy,turtle,horse,turtle-horse,96,72,0.75,1,0.1805555555555557,45,21,0.4666666666666667,0,0,60,58,0.9666666666666667,1,0.37931034482758647,0.36666666666666664,0.6,0,0,1,0,-0.19875478927203077,-0.37931034482758647,0,NA,FALSE,7.266,30.008667353513548,0,NA,0,0,0,0,0
CS7F6L,540,hard-turkey-goat,32,hard,turkey,goat,turkey-goat,84,0,0,0,NA,45,0,0,0,NA,60,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,FALSE,6.306,29.97764762470645,1,insufficient looking,0,0,0,0,1
QcRBVD,510,hard-potato-pot-distractor,32,hard-distractor,pot,potato,potato-pot,96,96,1,1,0.5729166666666667,45,45,1,1,0.6222222222222225,60,60,1,1,0.3166666666666668,0.31666666666666665,0.6833333333333333,0,0,1,1,0.2562499999999999,0.30555555555555564,0,NA,FALSE,6.966,30.008784723110644,0,NA,0,0,0,0,0
AWMRW7,720,easy-bulldozer-orange-distractor,32,easy-distractor,orange,bulldozer,bulldozer-orange,52,0,0,0,NA,26,0,0,0,NA,34,4,0.11764705882352941,0,0.5,0.058823529411764705,0.058823529411764705,0,0,0,0,NA,NA,0,NA,FALSE,6.751,21.671414039208955,1,insufficient looking,0,0,0,0,0
ZPX2dD,600,hard-acorn-coconut-distractor,32,hard-distractor,coconut,acorn,acorn-coconut,48,0,0,0,NA,23,0,0,0,NA,30,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,FALSE,7.194,15.108990069423015,1,insufficient looking,0,0,0,0,0
